rome|fap
A1101|A0Z43
A1201|A0Z42
A1202|A1Z41
A1203|A1Z41
A1204|G1Z70
A1204|H0Z91
A1204|A0Z42
A1205|A0Z42
A1301|A2Z70
A1301|A2Z90
A1302|A2Z70
A1302|A2Z90
A1303|A2Z70
A1303|A2Z90
A1401|A1Z42
A1402|A1Z40
A1403|A0Z41
A1404|A3Z40
A1405|A1Z42
A1406|A3Z90
A1407|A0Z41
A1408|A0Z41
A1409|A0Z41
A1410|A0Z41
A1411|A0Z41
A1412|E0Z21
A1412|E1Z42
A1413|E1Z42
A1413|E0Z21
A1414|A1Z40
A1415|A3Z40
A1416|A0Z40
A1416|A2Z70
A1417|A3Z40
A1501|V0Z60
A1502|K0Z40
A1502|K0Z20
A1503|K0Z40
A1503|K0Z20
A1504|V2Z92
B1101|U1Z93
B1201|E1Z43
B1301|U1Z82
B1302|K0Z40
B1302|K0Z20
B1303|K0Z20
B1303|K0Z40
B1401|K0Z40
B1401|K0Z20
B1402|K0Z20
B1402|K0Z40
B1501|K0Z20
B1501|K0Z40
B1601|K0Z20
B1601|K0Z40
B1602|E1Z43
B1603|K0Z20
B1603|K0Z40
B1604|G1Z70
B1604|G0A40
B1701|K0Z40
B1701|K0Z20
B1801|F1Z41
B1801|F0Z20
B1802|F0Z20
B1802|F1Z41
B1803|F1Z41
B1803|F0Z20
B1804|F1Z41
B1805|U1Z82
B1806|F2Z20
B1806|F3Z40
C1101|Q2Z91
C1102|Q1Z81
C1102|Q0Z60
C1103|Q1Z81
C1103|Q2Z91
C1104|Q2Z91
C1105|Q1Z81
C1105|Q2Z91
C1106|Q1Z81
C1106|Q2Z91
C1107|Q1Z81
C1107|Q2Z91
C1108|Q2Z91
C1109|Q0Z60
C1109|Q1Z81
C1110|Q1Z81
C1201|Q1Z80
C1201|Q0Z60
C1202|Q2Z90
C1202|Q1Z80
C1203|Q1Z80
C1203|Q2Z90
C1204|Q2Z90
C1205|Q2Z90
C1205|Q1Z80
C1206|Q1Z80
C1206|Q0Z60
C1207|Q2Z90
C1301|Q2Z90
C1302|Q1Z80
C1302|Q2Z90
C1303|Q2Z90
C1401|Q0Z60
C1501|R4Z93
C1502|R4Z93
C1503|R4Z93
C1504|R4Z93
D1101|S0Z20
D1101|S0Z40
D1102|S0Z20
D1102|S0Z42
D1103|S0Z20
D1103|S0Z41
D1104|S0Z20
D1104|S0Z42
D1105|R1Z60
D1106|R1Z60
D1107|R1Z60
D1201|R1Z62
D1202|T0Z60
D1203|T0Z60
D1204|J5Z62
D1204|J5Z80
D1205|K0Z40
D1205|K0Z20
D1206|F1Z41
D1206|F0Z20
D1207|F1Z41
D1207|F0Z20
D1208|T0Z60
D1209|R1Z62
D1210|R1Z62
D1211|R1Z62
D1212|R1Z61
D1213|R1Z63
D1214|R1Z62
D1301|R4Z92
D1401|L3Z80
D1401|L0Z60
D1402|R2Z80
D1403|R2Z83
D1404|R2Z83
D1405|R2Z80
D1406|R4Z90
D1407|R2Z80
D1407|R4Z91
D1408|R1Z67
D1501|R0Z60
D1501|R2Z83
D1502|R3Z80
D1503|R3Z80
D1504|R4Z92
D1505|R0Z61
D1506|R3Z80
D1506|R4Z90
D1507|R0Z60
D1508|R3Z80
D1509|R4Z92
E1101|U0Z90
E1101|U0Z80
E1102|U1Z92
E1103|U0Z80
E1103|U0Z90
E1104|U1Z82
E1105|U0Z92
E1106|U0Z92
E1107|U0Z90
E1107|U0Z80
E1108|U0Z81
E1201|U1Z81
E1202|F4Z20
E1202|F4Z41
E1203|F4Z41
E1203|F4Z20
E1204|U1Z80
E1205|U1Z82
E1301|F4Z41
E1301|F4Z20
E1302|F4Z41
E1302|F4Z20
E1303|F5Z70
E1304|F4Z20
E1304|F4Z41
E1305|F5Z70
E1306|F4Z41
E1306|F4Z20
E1307|F4Z41
E1307|F4Z20
E1308|F5Z70
E1401|U0Z80
E1401|U0Z90
E1402|U0Z80
E1402|U0Z90
F1101|B7Z90
F1101|A1Z41
F1102|U1Z82
F1102|B7Z90
F1103|B6Z71
F1103|B7Z91
F1104|B6Z72
F1105|B6Z71
F1105|B7Z91
F1106|B7Z91
F1106|B6Z71
F1107|B6Z70
F1108|B6Z71
F1108|B7Z91
F1201|B7Z91
F1201|B6Z73
F1202|B6Z73
F1202|B7Z91
F1203|B7Z91
F1204|B7Z91
F1204|B6Z71
F1301|B5Z40
F1302|B5Z40
F1401|B0Z20
F1401|B1Z40
F1402|B0Z20
F1402|B1Z40
F1501|B0Z21
F1501|B2Z43
F1502|B0Z21
F1502|B2Z42
F1503|B2Z43
F1503|B0Z21
F1601|B4Z44
F1601|B3Z20
F1602|B4Z43
F1602|B3Z20
F1603|B4Z41
F1603|B3Z20
F1604|B4Z42
F1604|B3Z20
F1605|B3Z20
F1605|B4Z43
F1606|B3Z20
F1606|B4Z44
F1607|B3Z20
F1607|B4Z42
F1608|B0Z21
F1608|B2Z40
F1609|B3Z20
F1609|B4Z44
F1610|B0Z21
F1610|B2Z44
F1611|B0Z21
F1611|B2Z40
F1612|B2Z41
F1613|B2Z40
F1613|B0Z21
F1701|B1Z40
F1701|B0Z20
F1702|B1Z40
F1702|B0Z20
F1703|B2Z40
F1703|B0Z21
F1704|B0Z20
F1705|B0Z20
F1705|B1Z40
F1706|E0Z22
F1706|E1Z43
G1101|J5Z62
G1102|J5Z80
G1201|J5Z60
G1202|V5Z81
G1203|V5Z81
G1204|V5Z82
G1205|T6Z61
G1206|T6Z61
G1301|J5Z80
G1302|J6Z92
G1303|J5Z62
G1303|J5Z80
G1401|S3Z90
G1402|S3Z90
G1403|S3Z90
G1404|S3Z90
G1501|S2Z60
G1502|S2Z60
G1503|S2Z81
G1601|S1Z80
G1602|S1Z40
G1603|S1Z20
G1604|S1Z20
G1605|S1Z20
G1701|S2Z81
G1702|S2Z60
G1703|S2Z60
G1801|S2Z61
G1802|S2Z80
G1803|S2Z61
G1804|S2Z80
H1101|G1Z70
H1101|H0Z91
H1102|R4Z91
H1201|E1Z46
H1202|C2Z71
H1203|D6Z71
H1204|U1Z82
H1205|F5Z70
