dc_rome_id|dc_lblrome
G1603|Personnel polyvalent en restauration
G1605|Plonge en restauration
G1501|Personnel d'étage
K1302|Assistance auprès d'adultes
D1507|Mise en rayon libre-service
K1304|Services domestiques
D1214|Vente en habillement et accessoires de la personne
M1203|Comptabilité
K2204|Nettoyage de locaux
N1103|Magasinage et préparation de commandes
G1803|Service en restauration
K1207|Intervention socioéducative
G1602|Personnel de cuisine
D1401|Assistanat commercial
M1607|Secrétariat
G1703|Réception en hôtellerie
M1609|Secrétariat et assistanat médical ou médico-social
D1208|Soins esthétiques et corporels
M1601|Accueil et renseignements
A1414|Horticulture et maraîchage
A1203|Aménagement et entretien des espaces verts
K1201|Action sociale
K1801|Conseil en emploi et insertion socioprofessionnelle
N1303|Intervention technique d'exploitation logistique
D1407|Relation technico-commerciale
K1301|Accompagnement médicosocial
F1602|Électricité bâtiment
J1501|Soins d'hygiène, de confort du patient
N1105|Manutention manuelle de charges
I1604|Mécanique automobile et entretien de véhicules
F1603|Installation d'équipements sanitaires et thermiques
I1203|Maintenance des bâtiments et des locaux
D1106|Vente en alimentation
H2102|Conduite d'équipement de production alimentaire
N4105|Conduite et livraison par tournées sur courte distance
N4101|Conduite de transport de marchandises sur longue distance
J1506|Soins infirmiers généralistes
G1604|Fabrication de crêpes ou pizzas
J1301|Personnel polyvalent des services hospitaliers
G1801|Café, bar brasserie
F1604|Montage d'agencements
G1203|Animation de loisirs auprès d'enfants ou d'adolescents
D1202|Coiffure
D1408|Téléconseil et télévente
M1802|Expertise et support en systèmes d'information
I1307|Installation et maintenance télécoms et courants faibles
M1202|Audit et contrôle comptables et financiers
D1212|Vente en décoration et équipement du foyer
K1403|Management de structure de santé, sociale ou pénitentiaire
D1104|Pâtisserie, confiserie, chocolaterie et glacerie
M1805|Études et développement informatique
M1502|Développement des ressources humaines
C1501|Gérance immobilière
E1103|Communication
M1810|Production et exploitation de systèmes d'information
M1806|Conseil et maîtrise d'ouvrage en systèmes d'information
M1501|Assistanat en ressources humaines
M1604|Assistanat de direction
C1102|Conseil clientèle en assurances
F1201|Conduite de travaux du BTP et de travaux paysagers
K2110|Formation en conduite de véhicules
K2111|Formation professionnelle
F1106|Ingénierie et études du BTP
F1704|Préparation du gros oeuvre et des travaux publics
H2903|Conduite d'équipement d'usinage
D1301|Management de magasin de détail
D1403|Relation commerciale auprès de particuliers
D1404|Relation commerciale en vente de véhicules
K2107|Enseignement général du second degré
K2104|Éducation et surveillance au sein d'établissements d'enseignement
K1303|Assistance auprès d'enfants
M1205|Direction administrative et financière
H1502|Management et ingénierie qualité industrielle
D1102|Boulangerie - viennoiserie
K1202|Éducation de jeunes enfants
M1704|Management relation clientèle
I1306|Installation et maintenance en froid, conditionnement d'air
H1101|Assistance et support technique client
D1402|Relation commerciale grands comptes et entreprises
N1101|Conduite d'engins de déplacement des charges
I1304|Installation et maintenance d'équipements industriels et d'exploitation
D1505|Personnel de caisse
H3302|Opérations manuelles d'assemblage, tri ou emballage
K2503|Sécurité et surveillance privées
H2502|Management et ingénierie de production
G1601|Management du personnel de cuisine
M1608|Secrétariat comptable
F1608|Pose de revêtements rigides
M1602|Opérations administratives
K1902|Collaboration juridique
I1401|Maintenance informatique et bureautique
M1605|Assistanat technique et administratif
F1703|Maçonnerie
F1607|Pose de fermetures menuisées
I1606|Réparation de carrosserie
K1203|Encadrement technique en insertion professionnelle
D1101|Boucherie
F1702|Construction de routes et voies
D1209|Vente de végétaux
F1302|Conduite d'engins de terrassement et de carrière
J1303|Assistance médico-technique
H2913|Soudage manuel
F1606|Peinture en bâtiment
M1707|Stratégie commerciale
A1405|Arboriculture et viticulture
H1210|Intervention technique en études, recherche et développement
I1309|Maintenance électrique
G1204|Éducation en activités sportives
F1104|Dessin BTP et paysage
H1504|Intervention technique en contrôle essai qualité en électricité et électronique
K1206|Intervention socioculturelle
H1404|Intervention technique en méthodes et industrialisation
G1502|Personnel polyvalent d'hôtellerie
D1211|Vente en articles de sport et loisirs
J1304|Aide en puériculture
N4103|Conduite de transport en commun sur route
J1307|Préparation en pharmacie
H2206|Réalisation de menuiserie bois et tonnellerie
C1504|Transaction immobilière
N1202|Gestion des opérations de circulation internationale des marchandises
A1402|Aide agricole de production légumière ou végétale
I1603|Maintenance d'engins de chantier, levage, manutention et de machines agricoles
H2602|Câblage électrique et électromécanique
D1502|Management/gestion de rayon produits alimentaires
K1903|Défense et conseil juridique
H3301|Conduite d'équipement de conditionnement
G1401|Assistance de direction d'hôtel-restaurant
F1610|Pose et restauration de couvertures
A1101|Conduite d'engins agricoles et forestiers
K2303|Nettoyage des espaces urbains
M1801|Administration de systèmes d'information
H2902|Chaudronnerie - tôlerie
F1202|Direction de chantier du BTP
J1305|Conduite de véhicules sanitaires
H3201|Conduite d'équipement de formage des plastiques et caoutchoucs
