KC_NOEUDCOMPETENCE|DC_LBLNOEUDCOMPETENCE
00234|Personnel navigant
00202|Navigation maritime et fluviale
00349|Transport de personnes
00221|Organisation du fret
00111|Exploitation transport routier
00110|Exploitation maritime et fluviale
00348|Transport de marchandises
00288|Relations commerciales transports
00109|Exploitation ferroviaire
00347|Transport d'animaux
00237|Pilotage aérien
00233|Permis - titres - certifications - habilitations de transport
00048|Conduite sur rails
00108|Exploitation des transports
00107|Exploitation aéroportuaire
00055|Contrôle aérien
00049|Conduite sur route
00180|Médecine de prévention
00227|Orthophonie
00268|Radiothérapie
00228|Orthoptie
00240|Podologie
00183|Médecines douces et alternatives
00281|Rééducation - kinésithérapie
00081|Diététique
00235|Pharmacie
00158|Intervention chirurgicale
00267|Radiologie - imagerie
00216|Optique et lunetterie
00229|Ostéopathie
00026|Biologie médicale
00181|Médecine dentaire
00182|Médecine généraliste et spécialisée
00023|Assistance, conseils et soins infirmiers
00326|Techniques et appareillages médicaux
00266|Puériculture - petite enfance
00262|Prospection et exploitation de gisements
00001|Abattage à l'explosif
00124|Forages
00112|Extraction de roches
00002|Abattage et découpe de viande
00258|Production agroalimentaire
00343|Traitement et transformation des viandes
00251|Préparations alimentaires
00325|Techniques de production alimentaire
00029|Caractéristiques et types de produits alimentaires
00275|Réalisations alimentaires
00014|Aménagements - agencements intérieurs
00354|Travaux de voirie et d'espaces publics
00323|Tapisserie - ameublement
00064|Couverture
00034|Chauffage et climatisation
00144|Gestion financière des travaux
00042|Conception et réalisation architecturales
00013|Aménagements - agencements extérieurs
00028|Canalisations - assainissement
00192|Mise en uvre et suivi des travaux
00250|Préparation et application sur surfaces à peindre ou à traiter
00242|Pose et dépose de revêtements de sol et muraux
00167|Maçonnerie - béton
00317|Structure - charpente
00101|Etude de chantier
00238|Plomberie
00265|Protection du patrimoine naturel
00153|Hygiène - sécurité - environnement
00097|Entretien et aménagement des espaces naturels
00342|Traitement et recyclage
00037|Collecte des déchets
00093|Energies renouvelables
00136|Gestion des risques environnementaux
00203|Négociation
00041|Conception et réalisation
00019|Application des normes , procédures, règles
00079|Diagnostic et analyse d'un besoin
00009|Actualisation de ses connaissances et de ses compétences
00123|Fonctionnement des matériels, machines ou systèmes
00346|Transmission de ses savoirs professionnels
