KC_RACINECOMPETENCE|DC_LBLRACINECOMPETENCE|KC_NOEUDCOMPETENCE|DC_LBLNOEUDCOMPETENCE|KC_COMPETENCESROME|DC_LBLCOMPETENCESROME
00055|Transport|00234|Personnel navigant|110161|Techniques de gestion de conflit et de panique à bord
00055|Transport|00234|Personnel navigant|110227|Vérifier les cartes d'embarquement avec la liste des passagers présents à bord, renseigner et transmettre les documents de suivi de vol
00055|Transport|00234|Personnel navigant|110229|Géographie liée aux services aéroportuaires (fuseaux horaires, aéroports, ...)
00055|Transport|00234|Personnel navigant|113911|Renseigner les documents de bord
00055|Transport|00234|Personnel navigant|119044|Logiciels aéronautiques
00055|Transport|00234|Personnel navigant|110159|Consignes générales de sécurité en vol
00055|Transport|00234|Personnel navigant|110395|Contrôler l'embarquement/débarquement des passagers
00055|Transport|00234|Personnel navigant|110292|Renseigner les supports de suivi de vol et identifier les dysfonctionnements
00055|Transport|00234|Personnel navigant|110156|Intervenir auprès des passagers en cas de besoin ou difficulté et mettre en place les procédures adaptées (premiers secours, rappel des mesures de sécurité, ...)
00055|Transport|00234|Personnel navigant|119045|Console de visualisation et de régulation de trafic
00055|Transport|00234|Personnel navigant|110258|Indicateurs de créneaux horaires
00055|Transport|00234|Personnel navigant|115577|Répartir l'activité d'une équipe de cabine et l'informer sur les particularités d'un vol
00055|Transport|00234|Personnel navigant|110312|Recueillir les données techniques de la traversée (horaires, distances, météo, ...) et élaborer la feuille de route
00055|Transport|00234|Personnel navigant|110638|Vérifier la présence des matériels et équipements de bord (sécurité, alerte), contrôler leur état et signaler toute anomalie ou dégradation
00055|Transport|00202|Navigation maritime et fluviale|110259|Règles de navigation à vue
00055|Transport|00202|Navigation maritime et fluviale|119844|Réaliser une navigation maritime au long court
00055|Transport|00202|Navigation maritime et fluviale|110360|Préparer et actionner les équipements du navire (ancres, câbles, cordages et gréement...) lors des manoeuvres d'appareillage ou d'accostage
00055|Transport|00202|Navigation maritime et fluviale|120479|Navire vraquier
00055|Transport|00202|Navigation maritime et fluviale|120466|Commander un navire nécessitant une qualification ou une habilitation
00055|Transport|00202|Navigation maritime et fluviale|119845|Réaliser une navigation maritime en zone portuaire
00055|Transport|00202|Navigation maritime et fluviale|110366|Manipulation d'embarcation et radeau de sauvetage et de matériel de manoeuvre
00055|Transport|00202|Navigation maritime et fluviale|120475|Navire remorqueur de haute mer
00055|Transport|00202|Navigation maritime et fluviale|110406|Effectuer une navigation fluviale sur un bateau-promenade
00055|Transport|00202|Navigation maritime et fluviale|110421|Effectuer une navigation nécessitant une attestation radar
00055|Transport|00202|Navigation maritime et fluviale|110377|Naviguer sur un yacht de plaisance à voile
00055|Transport|00202|Navigation maritime et fluviale|110368|Techniques de gréement, mâtage
00055|Transport|00202|Navigation maritime et fluviale|120462|Navire de ravitaillement off-shore
00055|Transport|00202|Navigation maritime et fluviale|119056|Logiciel professionnel de transport maritime
00055|Transport|00202|Navigation maritime et fluviale|110375|Naviguer sur un navire à Utilisation Collective (NUC)
00055|Transport|00202|Navigation maritime et fluviale|110352|Convoyer un navire de plaisance à voile
00055|Transport|00202|Navigation maritime et fluviale|120459|Navire de recherche océanographique
00055|Transport|00202|Navigation maritime et fluviale|120464|Navire de travaux off-shore
00055|Transport|00202|Navigation maritime et fluviale|120458|Navire frigorifique
00055|Transport|00202|Navigation maritime et fluviale|120457|Navire de grande plaisance
00055|Transport|00202|Navigation maritime et fluviale|120461|Navire de la Défense Nationale
00055|Transport|00202|Navigation maritime et fluviale|120476|Navire câblier
00055|Transport|00202|Navigation maritime et fluviale|110370|Réaliser une navigation maritime de convoyage d'un navire de plaisance à moteur
00055|Transport|00202|Navigation maritime et fluviale|110372|Réaliser une navigation maritime de grande plaisance
00055|Transport|00202|Navigation maritime et fluviale|110408|Effectuer une navigation fluviale sur un paquebot fluvial
00055|Transport|00202|Navigation maritime et fluviale|110388|Techniques d'amarrage/désamarrage
00055|Transport|00202|Navigation maritime et fluviale|120477|Navire Transbordeur (car-ferry)
00055|Transport|00202|Navigation maritime et fluviale|116593|Caractéristiques des bateaux, voiliers et engins nautiques
00055|Transport|00202|Navigation maritime et fluviale|120454|Commander un navire
00055|Transport|00202|Navigation maritime et fluviale|110351|Convoyer un navire à moteur (plaisance ou commerce)
00055|Transport|00202|Navigation maritime et fluviale|110374|Réaliser une navigation maritime au long cours
00055|Transport|00202|Navigation maritime et fluviale|110369|Réaliser une navigation maritime au cabotage
00055|Transport|00202|Navigation maritime et fluviale|110409|Effectuer une navigation fluviale sur une pirogue
00055|Transport|00202|Navigation maritime et fluviale|110313|Coordonner la conduite du navire durant la traversée et mettre en place les mesures correctives
00055|Transport|00202|Navigation maritime et fluviale|106964|Mise de voiles
00055|Transport|00202|Navigation maritime et fluviale|106967|Caractéristiques des voiles
00055|Transport|00202|Navigation maritime et fluviale|113939|Ajuster les paramètres de navigation d'un bateau en fonction des écarts et risques potentiels
00055|Transport|00202|Navigation maritime et fluviale|120473|Navire porte-conteneur
00055|Transport|00202|Navigation maritime et fluviale|120478|Navire roulier
00055|Transport|00202|Navigation maritime et fluviale|110062|Manoeuvrer une écluse
00055|Transport|00202|Navigation maritime et fluviale|110407|Effectuer une navigation fluviale sur un bateau-taxi
00055|Transport|00202|Navigation maritime et fluviale|110362|Surveiller la route maritime et identifier les obstacles éventuels sur le trajet
00055|Transport|00202|Navigation maritime et fluviale|113938|Surveiller la route d'un bateau en fonction de la direction, la vitesse, ... et informer le maître d'équipage ou l'officier des écarts
