dc_codecompetence|libelle_competence|libelle_regroupement_competence_n2|libelle_regroupement_competence_n1
100078|Réglementation de la pêche|Pêche|Agriculture - sylviculture - pêche
100130|Caractéristiques des produits chimiques|Sciences physiques, biologie et chimie|Sciences
100170|Techniques d'éclaircissage|Entretien et aménagement des espaces naturels|Environnement
100236|Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle|Navigation maritime et fluviale|Transport
100307|Prélever les semences des verrats et les analyser en laboratoire|Mesures et collecte de données|Analyses - mesures
100321|Utilisation d'instruments de mesure (hygromètre, PH-mètre, ...)|Manipulation des outils et des équipements|Compétences transverses
100347|Réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage du vin, du cidre, de la bière, ...|Conditionnement|Logistique
100359|Règles d'hygiène et de sécurité alimentaire|Règlementation sanitaire - règles d'hygiène|Règlementation sanitaire - règles d'hygiène
100409|Préparer et installer l'animal (désinfection, rasage, mise en cage, ...)|Soins aux animaux|Agriculture - sylviculture - pêche
100495|Culture artistique|Création artistique pour le spectacle et l'audiovisuel|Spectacle et audiovisuel
100550|Réaliser des papiers cadeaux|Tenue de caisse|Achat - vente
100679|Restaurer des tableaux|Restauration d'objets|Métiers d'art
100680|Restaurer des cadres|Restauration d'objets|Métiers d'art
100950|Caractéristiques des oxydes|Sciences physiques, biologie et chimie|Sciences
101085|Techniques de taxidermie souple|Naturalisation - taxidermie|Métiers d'art
101102|Concevoir des modèles pour une cérémonie|Conception de modèles, de gammes ou de styles de produits de la mode|Mode et stylisme
101105|Concevoir des modèles pour une collection hiver/été homme|Conception de modèles, de gammes ou de styles de produits de la mode|Mode et stylisme
101122|Techniques de broderie|Tissage - broderie|Fabrication et transformation d'éléments
101134|Techniques de prise de mesures (habillement)|Conception de modèles, de gammes ou de styles de produits de la mode|Mode et stylisme
101174|Géométrie|Mathématiques|Sciences
101196|Techniques d'assemblage des fourrures|Techniques et procédés des industries textile, de la chaussure et du cuir|Fabrication et transformation d'éléments
101216|Restaurer des tapisseries|Restauration d'objets|Métiers d'art
101219|Restaurer des costumes (de cérémonie, de théâtre, ...)|Restauration d'objets|Métiers d'art
101332|Modélisation mathématique|Mathématiques|Sciences
101430|Constater les dommages, dégâts, pertes sur les lieux du sinistre et auprès des assurés|Contrats d'assurance|Banque - assurance - finance - fiscalité
101450|Techniques de protection et de prévention des pollutions|Gestion des risques environnementaux|Environnement
101460|Réglementation des produits d'assurances|Contrats d'assurance|Banque - assurance - finance - fiscalité
101563|Arrêter les termes d'un contrat|Gestion de comptes|Banque - assurance - finance - fiscalité
101639|Droit immobilier|Spécifités du droit|Droit - juridique - notariat
101645|Réglementation du contentieux|Règlementations, codes et procédures juridiques|Droit - juridique - notariat
101665|Techniques de construction|Mise en œuvre et suivi des travaux|BTP - construction - aménagement
101810|Pelage de poissons|Préparations alimentaires|Agroalimentaire et métiers de bouche
101818|Cartographie des zones de pêche|Pêche|Agriculture - sylviculture - pêche
101851|Caractéristiques des fromages|Caractéristiques et types de produits alimentaires|Agroalimentaire et métiers de bouche
101904|Couper les cheveux (dégradés, effilés, piquetés)|Coiffure|Soins esthétiques et corporels
101938|Cosmétique|Esthétique|Soins esthétiques et corporels
101945|Réaliser le suivi administratif d'un contrat de location|Location - vente immobilère|Immobilier
101983|Redonner leur teinte initiale à des articles textiles|Teinture textiles, cuirs et peaux|Fabrication et transformation d'éléments
102030|Retoucher ou faire des modifications sur tissu enduit|Essais - retouches - finitions de produits textiles|Fabrication et transformation d'éléments
102059|Réaliser des soins du corps|Esthétique|Soins esthétiques et corporels
102065|Diététique|Diététique|Santé - médecine - pharmacie
102086|Langage des fleurs|Composition florale|Métiers d'art
102173|Eléments de base en plomberie|Aménagements - agencements intérieurs|BTP - construction - aménagement
102197|Caractéristiques des visages et des peaux|Esthétique|Soins esthétiques et corporels
102499|Registre « humour »|Ecriture d'ouvrage|Ecriture et édition
102568|Intervenir sur un support de type livre, presse, magazine||
102575|Intervenir dans le domaine d'édition scolaire, universitaire||
102697|Fonctionnement des machines de développement automatisé|Photographie|Métiers d'art
